"user_id","ab_group","start_ts","end_ts","pdate"
CkZ42Vn3YLgZ2F04CN/GAg==,B,"2023-05-03 07:40:42.492976","2023-05-03 08:02:33.397651","2023-05-03"
CkZ4xF8YLAlro0UVA0ZbAg==,A,"2023-05-03 09:35:14.179944","2023-05-03 10:01:40.758004","2023-05-03"
CkZ4xF8YLAlro0UVA0ZbAg==,A,"2023-05-04 05:00:49.840320","2023-05-04 05:19:04.366970","2023-05-04"
CkZ4xFaXcRQOyEu3EOV5Ag==,A,"2023-05-03 10:08:38.844971","2023-05-03 10:22:03.799355","2023-05-03"
CkZ4xFzVEkK3IkuJBTv+Ag==,A,"2023-05-03 07:40:24.186260","2023-05-03 07:51:09.960622","2023-05-03"
CmU8rmQ/AsuiNQAfA9UsAg==,B,"2023-05-02 04:20:06.517445","2023-05-02 04:30:56.878464","2023-05-02"
CmURgmPao4CAYgAfA7PGAg==,B,"2023-05-01 15:48:54.814500","2023-05-01 15:56:38.627883","2023-05-01"
CmUS5GRP3ZBhMAAgAxnPAg==,B,"2023-05-01 15:41:55.094702","2023-05-01 15:51:11.888329","2023-05-01"
CmUYg2RQBMG6vgAeAy8wAg==,B,"2023-05-01 18:28:32.711367","2023-05-01 18:34:18.773290","2023-05-01"
CmUYg2RQBoa6IwAfAzBuAg==,B,"2023-05-01 18:36:35.722884","2023-05-01 18:46:27.033011","2023-05-01"
CmUYg2RRukS6vgAeBCGGAg==,A,"2023-05-03 01:53:23.289580","2023-05-03 02:01:35.105579","2023-05-03"
CmUfIWQv9mIVWwAfB4F4Ag==,A,"2023-05-01 14:31:23.549427","2023-05-01 14:39:04.627170","2023-05-01"
CmUu6mPawQg6igAeCnO3Ag==,A,"2023-05-03 12:41:46.664266","2023-05-03 12:51:41.432088","2023-05-03"
CmYBEmRS7EKikQAhA1n1Ag==,B,"2023-05-03 23:20:40.305614","2023-05-03 23:26:08.101939","2023-05-03"
Cmo/7GRL8d0T+QAhAwnBAg==,A,"2023-05-01 07:40:38.564023","2023-05-01 07:50:53.168909","2023-05-01"
Cmo/7GRL8d0T+QAhAwnBAg==,A,"2023-05-01 12:05:13.185990","2023-05-01 12:22:25.572627","2023-05-01"
Cmo3C2RPf7ONpQAfAwcaAg==,A,"2023-05-01 09:08:36.176222","2023-05-01 09:17:23.291152","2023-05-01"
Cmo3C2RPftCNpQAfAwS3Ag==,B,"2023-05-01 08:57:42.563465","2023-05-01 09:12:03.695906","2023-05-01"
Cmo3C2RPftCNpQAfAwS3Ag==,B,"2023-05-08 21:50:39.833365","2023-05-08 21:58:34.540785","2023-05-08"
Cmo3C2RPftCNpQAfAwS3Ag==,B,"2023-05-08 23:02:45.553730","2023-05-08 23:15:23.946260","2023-05-08"
Cmo4IGRP+TsPogAeBMs4Ag==,A,"2023-05-01 17:40:05.865819","2023-05-01 17:47:15.627636","2023-05-01"
Cmo4IGRP+bIRpgAhBNLrAg==,B,"2023-05-01 17:41:47.623967","2023-05-01 17:51:06.972964","2023-05-01"
Cmo4IGRP+twO1AAgBNxKAg==,B,"2023-05-01 17:46:34.486685","2023-05-01 17:51:41.627808","2023-05-01"
Cmo4IGRP/DsR+gAfBOfUAg==,B,"2023-05-01 17:54:03.488445","2023-05-01 18:01:08.988584","2023-05-01"
Cmo4IGRP/TcRpgAhBO8UAg==,B,"2023-05-01 17:56:13.813380","2023-05-01 18:01:23.824041","2023-05-01"
Cmo4IGRP0A0R+gAfA8FoAg==,B,"2023-05-01 14:47:36.171342","2023-05-01 15:12:50.595923","2023-05-01"
Cmo4IGRP0LcO1AAgA80lAg==,A,"2023-05-01 14:46:48.408454","2023-05-01 14:53:15.315406","2023-05-01"
Cmo4IGRP0U8R+gAfA8j6Ag==,A,"2023-05-01 14:50:02.894464","2023-05-01 14:58:49.617731","2023-05-01"
Cmo4IGRP134R+gAfA/JKAg==,A,"2023-05-01 15:15:37.960943","2023-05-01 15:21:30.741579","2023-05-01"
Cmo4IGRP2G0R+gAfA/iLAg==,A,"2023-05-01 15:19:57.148332","2023-05-01 15:40:28.845770","2023-05-01"
Cmo4IGRP45MRpgAhBEXtAg==,B,"2023-05-01 16:10:36.697266","2023-05-01 16:20:33.345684","2023-05-01"
Cmo4IGRP4G8O1AAgBDO2Ag==,B,"2023-05-01 15:53:34.178977","2023-05-01 15:58:58.084752","2023-05-01"
Cmo4IGRP6hoRpgAhBHN2Ag==,B,"2023-05-01 16:35:50.687919","2023-05-01 16:52:48.633541","2023-05-01"
Cmo4IGRP7CAO1AAgBIICAg==,B,"2023-05-01 16:44:27.300936","2023-05-01 16:49:41.739188","2023-05-01"
Cmo4IGRP7m0RpgAhBI9iAg==,A,"2023-05-01 16:53:23.670532","2023-05-01 17:12:02.199104","2023-05-01"
Cmo4IGRP8XsRpgAhBKHcAg==,A,"2023-05-01 17:06:38.234321","2023-05-01 17:12:12.033813","2023-05-01"
Cmo4IGRP96gPogAeBL/4Ag==,A,"2023-05-01 17:32:52.977921","2023-05-01 17:44:11.915876","2023-05-01"
Cmo4IGRP9JoR+gAfBLKkAg==,B,"2023-05-01 17:20:42.299406","2023-05-01 17:29:59.823991","2023-05-01"
Cmo4IGRP9JoR+gAfBLKkAg==,B,"2023-05-01 18:30:14.644731","2023-05-01 18:37:43.350437","2023-05-01"
Cmo4IGRPtOURpgAhAwuoAg==,A,"2023-05-01 12:47:43.004253","2023-05-01 12:54:09.381432","2023-05-01"
Cmo4IGRPuX4PogAeAyvxAg==,A,"2023-05-01 13:08:17.348730","2023-05-01 13:25:18.749437","2023-05-01"
Cmo4IGRPuX4PogAeAyvxAg==,A,"2023-05-01 16:34:50.570140","2023-05-01 16:40:20.808525","2023-05-01"
Cmo4IGRPviAR+gAfA0o4Ag==,A,"2023-05-01 14:31:10.828425","2023-05-01 14:36:13.083936","2023-05-01"
Cmo4IGRPwNgO1AAgA1mlAg==,B,"2023-05-01 13:45:29.153604","2023-05-01 14:04:24.988394","2023-05-01"
Cmo4IGRPwOQRpgAhA2DDAg==,A,"2023-05-01 13:40:22.097873","2023-05-01 13:50:21.709955","2023-05-01"
Cmo4IGRPwPMPogAeA154Ag==,B,"2023-05-01 13:39:35.204653","2023-05-01 13:51:01.194238","2023-05-01"
Cmo4IGRPwkcPogAeA2gBAg==,B,"2023-05-01 13:45:18.309315","2023-05-01 14:08:45.169778","2023-05-01"
Cmo4IGRPwkcPogAeA2gBAg==,B,"2023-05-01 18:29:05.916662","2023-05-01 18:45:10.586316","2023-05-01"
Cmo4IGRPxtEPogAeA4ffAg==,B,"2023-05-01 14:04:09.474929","2023-05-01 14:28:41.810026","2023-05-01"
Cmo4IGRPyzYRpgAhA6W2Ag==,A,"2023-05-01 14:23:04.139758","2023-05-01 14:30:11.772124","2023-05-01"
Cmo4IGRPzAAO1AAgA6olAg==,B,"2023-05-01 14:27:10.715481","2023-05-01 14:35:15.569965","2023-05-01"
Cmo4IGRQ+HwR+gAfCbrWAg==,B,"2023-05-02 11:50:48.217297","2023-05-02 12:15:11.002650","2023-05-02"
Cmo4IGRQ+TgR+gAfCb8MAg==,A,"2023-05-02 11:53:42.157187","2023-05-02 12:01:59.854385","2023-05-02"
Cmo4IGRQ+YkO1AAgCagtAg==,B,"2023-05-02 11:53:28.507602","2023-05-02 12:17:16.832869","2023-05-02"
Cmo4IGRQ/+IPogAeCdQ3Ag==,B,"2023-05-02 12:20:06.183286","2023-05-02 12:43:19.608768","2023-05-02"
Cmo4IGRQ/+kRpgAhCfdLAg==,A,"2023-05-02 12:20:57.981531","2023-05-02 12:49:26.863164","2023-05-02"
Cmo4IGRQ/44RpgAhCfUcAg==,A,"2023-05-02 12:18:54.759487","2023-05-02 12:24:07.442102","2023-05-02"
Cmo4IGRQ0QIPogAeCI9XAg==,A,"2023-05-02 09:00:19.720601","2023-05-02 09:08:08.932632","2023-05-02"
Cmo4IGRQ0QIPogAeCI9XAg==,A,"2023-05-05 14:57:20.396132","2023-05-05 15:11:05.225816","2023-05-05"
Cmo4IGRQ1jkRpgAhCM4aAg==,B,"2023-05-02 09:22:21.223085","2023-05-02 09:32:46.831107","2023-05-02"
Cmo4IGRQ1nUPogAeCLD/Ag==,A,"2023-05-02 09:23:55.743132","2023-05-02 09:33:49.982091","2023-05-02"
Cmo4IGRQ1nUPogAeCLD/Ag==,A,"2023-05-03 05:35:16.455993","2023-05-03 05:47:24.761826","2023-05-03"
Cmo4IGRQ1xEPogAeCLUvAg==,B,"2023-05-02 09:26:14.958233","2023-05-02 09:32:31.713391","2023-05-02"
Cmo4IGRQ2HkO1AAgCL3TAg==,B,"2023-05-02 09:32:37.897964","2023-05-02 09:37:58.723485","2023-05-02"
Cmo4IGRQ2sAO1AAgCM7aAg==,B,"2023-05-02 09:41:47.947037","2023-05-02 10:00:39.796136","2023-05-02"
Cmo4IGRQ31sRpgAhCQz9Ag==,B,"2023-05-02 10:01:10.996941","2023-05-02 10:11:20.794602","2023-05-02"
Cmo4IGRQ3VwO1AAgCOGHAg==,A,"2023-05-07 16:27:19.440691","2023-05-07 16:42:41.453965","2023-05-07"
Cmo4IGRQ3roO1AAgCO0oAg==,B,"2023-05-02 09:59:49.727864","2023-05-02 10:05:02.044318","2023-05-02"
Cmo4IGRQ3roO1AAgCO0oAg==,B,"2023-05-02 10:36:57.116657","2023-05-02 11:03:24.085859","2023-05-02"
Cmo4IGRQ3roO1AAgCO0oAg==,B,"2023-05-03 06:46:39.366130","2023-05-03 07:01:35.154988","2023-05-03"
Cmo4IGRQ4hgR+gAfCRgZAg==,A,"2023-05-02 10:13:56.823322","2023-05-02 10:21:17.392814","2023-05-02"
Cmo4IGRQ5K8R+gAfCSt4Ag==,B,"2023-05-02 10:25:50.868231","2023-05-02 10:36:52.176044","2023-05-02"
Cmo4IGRQ5soRpgAhCUPhAg==,A,"2023-05-02 10:34:43.133511","2023-05-02 10:52:56.545325","2023-05-02"
Cmo4IGRQ71oRpgAhCYZ5Ag==,B,"2023-05-02 11:09:35.840101","2023-05-02 11:21:03.140075","2023-05-02"
Cmo4IGRQ7AoPogAeCUgQAg==,B,"2023-05-02 10:55:33.964814","2023-05-02 11:02:00.473109","2023-05-02"
Cmo4IGRQ81MRpgAhCaJhAg==,A,"2023-05-02 11:28:21.246550","2023-05-02 11:37:49.763152","2023-05-02"
Cmo4IGRQ8ocPogAeCXWlAg==,B,"2023-05-02 11:24:06.729125","2023-05-02 11:29:51.685156","2023-05-02"
Cmo4IGRQ9WkO1AAgCY3qAg==,A,"2023-05-02 11:36:35.164680","2023-05-02 11:57:28.995654","2023-05-02"
Cmo4IGRQ9ZUO1AAgCY8hAg==,A,"2023-05-02 11:36:29.806769","2023-05-02 11:53:44.420470","2023-05-02"
Cmo4IGRQA1wR+gAfBRQIAg==,B,"2023-05-01 18:23:52.889042","2023-05-01 18:40:00.101537","2023-05-01"
Cmo4IGRQA8kRpgAhBRj3Ag==,A,"2023-05-01 18:24:44.645920","2023-05-01 18:32:48.428950","2023-05-01"
Cmo4IGRQANcRpgAhBQWVAg==,B,"2023-05-01 18:12:17.505458","2023-05-01 18:23:06.908720","2023-05-01"
Cmo4IGRQAh8R+gAfBQ2uAg==,A,"2023-05-01 18:17:45.754854","2023-05-01 18:45:13.885754","2023-05-01"
Cmo4IGRQAh8R+gAfBQ2uAg==,A,"2023-05-05 11:31:21.560722","2023-05-05 11:46:45.904141","2023-05-05"
Cmo4IGRQAh8R+gAfBQ2uAg==,A,"2023-05-05 17:31:19.849438","2023-05-05 17:46:04.233656","2023-05-05"
Cmo4IGRQAkERpgAhBQ7OAg==,B,"2023-05-01 18:17:41.075722","2023-05-01 18:33:15.666938","2023-05-01"
Cmo4IGRQBJwPogAeBRapAg==,A,"2023-05-01 18:29:06.310447","2023-05-01 18:50:49.802642","2023-05-01"
Cmo4IGRQBrIRpgAhBShzAg==,B,"2023-05-01 18:36:38.149106","2023-05-01 19:06:19.433857","2023-05-01"
Cmo4IGRQBrIRpgAhBShzAg==,B,"2023-05-01 20:35:00.472024","2023-05-01 20:44:23.393547","2023-05-01"
Cmo4IGRQDHAR+gAfBUvrAg==,B,"2023-05-01 19:01:43.555743","2023-05-01 19:30:18.926694","2023-05-01"
Cmo4IGRQDUUPogAeBUkEAg==,B,"2023-05-01 19:12:05.479200","2023-05-01 19:20:34.158943","2023-05-01"
Cmo4IGRQE58RpgAhBW43Ag==,B,"2023-05-01 19:35:46.516607","2023-05-01 19:43:45.988734","2023-05-01"
Cmo4IGRQEAARpgAhBVrbAg==,A,"2023-05-01 19:16:33.469944","2023-05-01 19:25:21.765711","2023-05-01"
Cmo4IGRQENgRpgAhBV9MAg==,A,"2023-05-01 19:21:33.751890","2023-05-01 19:29:14.104683","2023-05-01"
Cmo4IGRQGNsR+gAfBYy+Ag==,B,"2023-05-01 19:54:50.369869","2023-05-01 20:19:55.461109","2023-05-01"
Cmo4IGRQIpYO1AAgBa+SAg==,B,"2023-05-01 20:36:06.669982","2023-05-01 20:41:34.825039","2023-05-01"
Cmo4IGRQJL4R+gAfBbztAg==,B,"2023-05-01 20:45:36.832728","2023-05-01 20:52:02.730795","2023-05-01"
Cmo4IGRQJuQPogAeBbnUAg==,A,"2023-05-01 20:55:43.062902","2023-05-01 21:17:14.056306","2023-05-01"
Cmo4IGRQKM4PogAeBcGjAg==,A,"2023-05-01 21:03:39.450909","2023-05-01 21:11:46.052769","2023-05-01"
Cmo4IGRQQswR+gAfBhsGAg==,A,"2023-05-01 22:53:18.999021","2023-05-01 23:01:37.479290","2023-05-01"
Cmo4IGRQR8ARpgAhBh5nAg==,B,"2023-05-01 23:15:55.210321","2023-05-01 23:31:05.907636","2023-05-01"
Cmo4IGRQS/cRpgAhBiZsAg==,B,"2023-05-01 23:32:26.677151","2023-05-01 23:46:05.812973","2023-05-01"
Cmo4IGRQT+0R+gAfBjwyAg==,B,"2023-05-01 23:49:36.121451","2023-05-01 23:55:08.302472","2023-05-01"
Cmo4IGRQa2gRpgAhBnIIAg==,A,"2023-05-02 01:46:42.515199","2023-05-02 01:53:19.071522","2023-05-02"
Cmo4IGRQaWsR+gAfBnCBAg==,B,"2023-05-02 02:13:53.245600","2023-05-02 02:32:49.491321","2023-05-02"
Cmo4IGRQaZwR+gAfBnEFAg==,B,"2023-05-02 01:39:30.650487","2023-05-02 01:50:57.520612","2023-05-02"
Cmo4IGRQhU8O1AAgBrztAg==,A,"2023-05-02 03:41:14.668480","2023-05-02 03:56:28.170058","2023-05-02"
Cmo4IGRQjPwR+gAfBvLuAg==,A,"2023-05-02 05:45:51.329643","2023-05-02 05:54:30.958956","2023-05-02"
Cmo4IGRQjmcPogAeBvCtAg==,A,"2023-05-02 04:17:15.998747","2023-05-02 04:26:22.669741","2023-05-02"
Cmo4IGRQm4IO1AAgBywOAg==,A,"2023-05-02 05:12:14.710933","2023-05-02 05:17:41.528156","2023-05-02"
Cmo4IGRQm5MRpgAhB0uyAg==,A,"2023-05-02 05:12:18.945271","2023-05-02 05:20:36.556607","2023-05-02"
Cmo4IGRQmgcO1AAgByKrAg==,A,"2023-05-02 05:05:42.074778","2023-05-02 05:10:52.967188","2023-05-02"
Cmo4IGRQn2sPogAeB0+aAg==,A,"2023-05-02 05:29:57.965800","2023-05-02 05:55:42.612777","2023-05-02"
Cmo4IGRQnSMR+gAfB0lkAg==,B,"2023-05-02 05:18:53.261915","2023-05-02 05:26:19.608358","2023-05-02"
Cmo4IGRQnfkR+gAfB04gAg==,B,"2023-05-02 05:23:01.279390","2023-05-02 05:36:27.109238","2023-05-02"
Cmo4IGRQoywRpgAhB3weAg==,B,"2023-05-02 05:45:40.467217","2023-05-02 05:58:08.551356","2023-05-02"
Cmo4IGRQpTgO1AAgB2nkAg==,B,"2023-05-02 05:53:14.888660","2023-05-02 06:01:09.749075","2023-05-02"
Cmo4IGRQqZkO1AAgB4TYAg==,B,"2023-05-02 06:14:36.016006","2023-05-02 06:22:26.529543","2023-05-02"
Cmo4IGRQqtoPogAeB5YxAg==,B,"2023-05-02 06:20:57.754723","2023-05-02 06:26:28.850645","2023-05-02"
Cmo4IGRQrcAPogAeB6spAg==,B,"2023-05-02 09:00:12.657875","2023-05-02 09:09:55.696371","2023-05-02"
Cmo4IGRQrcAPogAeB6spAg==,B,"2023-05-03 08:42:12.585043","2023-05-03 08:59:24.660810","2023-05-03"
Cmo4IGRQs1YRpgAhB+XJAg==,A,"2023-05-02 06:53:30.169173","2023-05-02 07:18:55.334005","2023-05-02"
Cmo4IGRQsOURpgAhB9TwAg==,B,"2023-05-02 06:43:20.439196","2023-05-02 06:57:33.187094","2023-05-02"
Cmo4IGRQt+AR+gAfB+9SAg==,B,"2023-05-02 07:14:42.847180","2023-05-02 07:23:28.103076","2023-05-02"
Cmo4IGRQtYQRpgAhB/TkAg==,B,"2023-05-02 07:03:20.247443","2023-05-02 07:11:26.138282","2023-05-02"
Cmo4IGRQu8cO1AAgCAC+Ag==,B,"2023-05-02 07:30:34.937780","2023-05-02 07:55:21.515018","2023-05-02"
Cmo4IGRQuBIR+gAfB/AgAg==,B,"2023-05-02 07:14:05.517582","2023-05-02 07:22:59.077954","2023-05-02"
Cmo4IGRQuDwPogAeB/QNAg==,B,"2023-05-02 07:14:34.675775","2023-05-02 07:43:39.234754","2023-05-02"
Cmo4IGRQueARpgAhCBECAg==,B,"2023-05-02 07:21:23.222082","2023-05-02 07:34:54.349953","2023-05-02"
Cmo4IGRQv6MR+gAfCCaVAg==,B,"2023-05-02 07:47:05.624382","2023-05-02 07:52:52.362483","2023-05-02"
Cmo4IGRQvKUR+gAfCBFZAg==,A,"2023-05-02 07:34:06.010573","2023-05-02 07:55:52.993297","2023-05-02"
Cmo4IGRQvcARpgAhCCjKAg==,A,"2023-05-02 07:39:22.944313","2023-05-02 08:04:52.277975","2023-05-02"
Cmo4IGRQvhwPogAeCBcUAg==,A,"2023-05-02 07:40:15.962916","2023-05-02 08:01:46.403716","2023-05-02"
Cmo4IGRQvlwR+gAfCB2yAg==,A,"2023-05-02 07:41:15.362828","2023-05-02 07:46:19.116987","2023-05-02"
Cmo4IGRQvnoO1AAgCBC2Ag==,A,"2023-05-02 07:41:01.240860","2023-05-02 07:47:47.159923","2023-05-02"
Cmo4IGRQvyEO1AAgCBUxAg==,B,"2023-05-02 08:16:26.895252","2023-05-02 08:35:38.981756","2023-05-02"
Cmo4IGRQwT0R+gAfCDKsAg==,A,"2023-05-02 07:53:53.402171","2023-05-02 08:16:30.124159","2023-05-02"
Cmo4IGRQwqIPogAeCDOXAg==,B,"2023-05-02 07:58:33.090179","2023-05-02 08:25:08.794220","2023-05-02"
Cmo4IGRQwvAO1AAgCCqzAg==,A,"2023-05-02 08:00:28.381674","2023-05-02 08:26:48.650312","2023-05-02"
Cmo4IGRQxBAR+gAfCEbaAg==,A,"2023-05-02 08:05:36.353141","2023-05-02 08:33:50.276703","2023-05-02"
Cmo4IGRQxEUPogAeCD7zAg==,A,"2023-05-02 08:05:29.325985","2023-05-02 08:14:14.456622","2023-05-02"
Cmo4IGRQxKsPogAeCED3Ag==,A,"2023-05-02 08:08:34.393448","2023-05-02 08:18:21.612816","2023-05-02"
Cmo4IGRQxbERpgAhCF2gAg==,A,"2023-05-02 08:47:37.160504","2023-05-02 09:07:57.201893","2023-05-02"
Cmo4IGRQxz4O1AAgCEl+Ag==,B,"2023-05-02 08:18:39.648266","2023-05-02 08:30:36.993595","2023-05-02"
Cmo4IGRQy3gRpgAhCIN5Ag==,B,"2023-05-02 08:36:30.292391","2023-05-02 08:51:41.036044","2023-05-02"
Cmo4IGRQz1gO1AAgCH7SAg==,B,"2023-05-02 08:54:13.788286","2023-05-02 09:01:20.572961","2023-05-02"
Cmo4IGRQz9YR+gAfCJnuAg==,B,"2023-05-02 08:55:49.962067","2023-05-02 09:03:52.058293","2023-05-02"
Cmo4IGRQz9YR+gAfCJnuAg==,B,"2023-05-02 09:44:39.477026","2023-05-02 09:50:33.445507","2023-05-02"
Cmo4IGRQzPwRpgAhCI9aAg==,B,"2023-05-02 08:45:18.277167","2023-05-02 08:54:05.259209","2023-05-02"
Cmo4IGRQzpAPogAeCH/bAg==,A,"2023-05-02 08:50:14.755752","2023-05-02 09:14:32.883186","2023-05-02"
Cmo4IGRRA4QRpgAhChEVAg==,B,"2023-05-02 12:35:50.739260","2023-05-02 12:42:27.312784","2023-05-02"
Cmo4IGRRAOoPogAeCdtBAg==,A,"2023-05-02 12:25:11.607755","2023-05-02 12:31:55.943134","2023-05-02"
Cmo4IGRRAOoPogAeCdtBAg==,A,"2023-05-03 19:25:02.248860","2023-05-03 19:37:31.560792","2023-05-03"
Cmo4IGRRAewO1AAgCd5nAg==,A,"2023-05-02 12:29:17.036908","2023-05-02 12:36:32.340319","2023-05-02"
Cmo4IGRRAoMPogAeCeW1Ag==,A,"2023-05-02 12:31:24.150514","2023-05-02 12:43:49.154368","2023-05-02"
Cmo4IGRRAsoRpgAhCgy3Ag==,B,"2023-05-02 12:32:30.745556","2023-05-02 12:41:21.745966","2023-05-02"
Cmo4IGRRBF4RpgAhChgHAg==,B,"2023-05-02 12:39:22.867685","2023-05-02 12:48:22.844258","2023-05-02"
Cmo4IGRRBRcO1AAgCfbaAg==,A,"2023-05-05 07:28:20.127030","2023-05-05 07:34:22.717157","2023-05-05"
Cmo4IGRRBdgRpgAhCiDEAg==,A,"2023-05-02 12:45:25.335073","2023-05-02 12:54:16.675131","2023-05-02"
Cmo4IGRRCHsRpgAhCjF5Ag==,A,"2023-05-02 12:57:00.659862","2023-05-02 13:22:56.601827","2023-05-02"
Cmo4IGRRCO4R+gAfCikiAg==,B,"2023-05-02 12:59:24.873197","2023-05-02 13:14:55.887224","2023-05-02"
Cmo4IGRRCxwRpgAhCkNMAg==,A,"2023-05-02 13:08:29.358994","2023-05-02 13:17:53.023334","2023-05-02"
Cmo4IGRRDfwO1AAgCi2UAg==,A,"2023-05-02 13:20:53.808239","2023-05-02 13:26:02.297880","2023-05-02"
Cmo4IGRRDoUPogAeCjh3Ag==,A,"2023-05-02 13:24:11.417009","2023-05-02 13:50:07.803744","2023-05-02"
Cmo4IGRRDyYO1AAgCjSaAg==,B,"2023-05-02 13:26:50.839551","2023-05-02 13:31:57.170626","2023-05-02"
Cmo4IGRREDcR+gAfClpAAg==,A,"2023-05-02 13:29:31.053735","2023-05-02 13:39:23.599074","2023-05-02"
Cmo4IGRREL0O1AAgCkEGAg==,A,"2023-05-02 13:36:14.621846","2023-05-02 13:49:59.474936","2023-05-02"
Cmo4IGRREzIRpgAhCnt9Ag==,A,"2023-05-02 13:44:47.689750","2023-05-02 13:54:54.188789","2023-05-02"
Cmo4IGRREzoRpgAhCnu4Ag==,A,"2023-05-02 15:58:50.380798","2023-05-02 16:18:34.350079","2023-05-02"
Cmo4IGRRF+QPogAeCnnWAg==,B,"2023-05-02 14:02:27.152595","2023-05-02 14:18:12.957968","2023-05-02"
Cmo4IGRRF3oO1AAgCmzRAg==,A,"2023-05-02 14:01:40.569697","2023-05-02 14:08:39.372064","2023-05-02"
Cmo4IGRRFTERpgAhCongAg==,A,"2023-05-02 13:51:08.963745","2023-05-02 14:14:51.752446","2023-05-02"
Cmo4IGRRFYkRpgAhCou/Ag==,A,"2023-05-02 13:52:54.328306","2023-05-02 14:06:11.866003","2023-05-02"
Cmo4IGRRG7MR+gAfCq4AAg==,B,"2023-05-02 14:19:51.407132","2023-05-02 14:29:44.183497","2023-05-02"
Cmo4IGRRHDURpgAhCrl4Ag==,B,"2023-05-02 14:21:20.873091","2023-05-02 14:33:10.733126","2023-05-02"
Cmo4IGRRHGsPogAeCpa/Ag==,A,"2023-05-02 14:23:03.521963","2023-05-02 14:28:29.660605","2023-05-02"
Cmo4IGRRHGsPogAeCpa/Ag==,A,"2023-05-05 11:32:52.814125","2023-05-05 11:46:18.112449","2023-05-05"
Cmo4IGRRHhsO1AAgCpiSAg==,B,"2023-05-03 15:35:14.809270","2023-05-03 15:48:06.114121","2023-05-03"
Cmo4IGRRI4cR+gAfCuP4Ag==,B,"2023-05-02 14:53:07.829423","2023-05-02 15:00:12.488679","2023-05-02"
Cmo4IGRRIO0PogAeCrgDAg==,B,"2023-05-02 15:23:49.002890","2023-05-02 15:30:59.904207","2023-05-02"
Cmo4IGRRIO0PogAeCrgDAg==,B,"2023-05-03 12:31:28.292279","2023-05-03 12:45:32.451107","2023-05-03"
Cmo4IGRRIh4R+gAfCt0kAg==,B,"2023-05-02 14:55:57.794751","2023-05-02 15:04:10.252342","2023-05-02"
Cmo4IGRRIxQPogAeCsZaAg==,B,"2023-05-02 14:50:23.621994","2023-05-02 14:59:06.740256","2023-05-02"
Cmo4IGRRJgIR+gAfCvN8Ag==,B,"2023-05-02 15:02:42.729696","2023-05-02 15:26:02.098216","2023-05-02"
Cmo4IGRRJhARpgAhCwIJAg==,B,"2023-05-02 15:04:43.453244","2023-05-02 15:22:50.228202","2023-05-02"
Cmo4IGRRJhARpgAhCwIJAg==,B,"2023-05-02 17:50:45.803369","2023-05-02 18:09:23.782560","2023-05-02"
Cmo4IGRRK1YO1AAgCvadAg==,B,"2023-05-02 15:25:39.583865","2023-05-02 15:48:05.565823","2023-05-02"
Cmo4IGRRK5QR+gAfCxgiAg==,A,"2023-05-02 15:27:12.233672","2023-05-02 15:50:05.281591","2023-05-02"
Cmo4IGRRK5UPogAeCwCGAg==,A,"2023-05-02 15:26:42.133824","2023-05-02 15:39:54.486019","2023-05-02"
Cmo4IGRRKywR+gAfCxThAg==,A,"2023-05-02 15:24:30.460231","2023-05-02 15:41:41.969788","2023-05-02"
